Naam,URL,koppelbedrijf,brandstof,prijs,datum
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Diesel B7,1.609,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,LPG,0.749,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,Euro95 E10,1.849,2025-12-07
TinQ Millingen aan de Rijn,https://www.tinq.nl/tankstations/millingen-aan-de-rijn-heerbaan#default,Esso Vissers Bergh Noord,AdBlue,0.999,2025-12-07
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Euro 95,"2,359",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel,"1,986",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,LPG,"0,764",2025-12-10
Texaco horst,https://bg.fuelo.net/gasstation/id/38090?lang=bg,Esso Vissers Horst,Diesel Premium,"0,000",2025-12-10
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Euro 95 (E10),"1,97",2025-12-10
BP Express Sevenum,https://www.tankje.nl/GasStation/Details/2445,Esso Vissers Horst,Diesel (B7),"1,75",2025-12-10
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Diesel B7,1.549,2025-12-10
TinQ Venray Henri Dunanstraat,https://www.tinq.nl/tankstations/venray-henri-dunantstraat#default,Esso Vissers Horst,Euro95 E10,1.749,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Diesel B7,1.599,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Euro95 E10,1.829,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,Superplus 98 E5,1.999,2025-12-10
TinQ druten,https://www.tinq.nl/tankstations/druten-industrieweg#default,BP Vissers Afferden,HVO100,2.111,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Diesel B7,1.709,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Euro95 E10,1.939,2025-12-10
TinQ Winssen - Leegstraat,https://www.tinq.nl/tankstations/winssen-leegstraat#default,BP Vissers Afferden,Superplus 98 E5,2.149,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Superplus 98 E5,2.139,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,Diesel B7,1.679,2025-12-10
TinQ Megen - Noord zuid,https://www.tinq.nl/tankstations/megen-noord-zuid#default,BP Vissers Afferden,LPG,0.699,2025-12-10
